Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"RBLX","ROBLOX CORP CLASS A","Communication","Equity","47,444,473.60","0.11","47,444,473.60","401,120.00","118.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VST","VISTRA CORP","Utilities","Equity","46,609,292.00","0.11","46,609,292.00","240,850.00","193.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","46,446,760.31","0.11","46,446,760.31","46,446,760.00","1.00","United States","-","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","46,122,715.52","0.11","46,122,715.52","393,136.00","117.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","46,050,563.93","0.11","46,050,563.93","161,281.00","285.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","45,988,551.42","0.11","45,988,551.42","158,461.00","290.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","45,987,006.00","0.11","45,987,006.00","523,770.00","87.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Consumer Discretionary","Equity","45,120,223.04","0.11","45,120,223.04","166,048.00","271.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","44,495,153.16","0.11","44,495,153.16","617,388.00","72.07","United States","NASDAQ","USD","1.00","USD","-"
"COIN","COINBASE GLOBAL INC CLASS A","Financials","Equity","44,360,489.85","0.11","44,360,489.85","146,855.00","302.07","United States","NASDAQ","USD","1.00","USD","-"
"ADSK","AUTODESK INC","Information Technology","Equity","43,869,898.52","0.10","43,869,898.52","151,673.00","289.24","United States","NASDAQ","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","43,428,957.88","0.10","43,428,957.88","161,524.00","268.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","43,412,842.62","0.10","43,412,842.62","162,729.00","266.78","United States","NASDAQ","USD","1.00","USD","-"
"NET","CLOUDFLARE INC CLASS A","Information Technology","Equity","43,173,247.00","0.10","43,173,247.00","219,700.00","196.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNOW","SNOWFLAKE INC","Information Technology","Equity","42,972,285.66","0.10","42,972,285.66","223,082.00","192.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","42,884,141.66","0.10","42,884,141.66","380,651.00","112.66","United States","NASDAQ","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","42,653,644.44","0.10","42,653,644.44","74,598.00","571.78","United States","NASDAQ","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","42,514,203.42","0.10","42,514,203.42","1,025,427.00","41.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"URI","UNITED RENTALS INC","Industrials","Equity","42,271,436.24","0.10","42,271,436.24","46,166.00","915.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","41,300,982.00","0.10","41,300,982.00","954,936.00","43.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","41,205,846.58","0.10","41,205,846.58","932,681.00","44.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROP","ROPER TECHNOLOGIES INC","Information Technology","Equity","40,920,487.47","0.10","40,920,487.47","76,833.00","532.59","United States","NASDAQ","USD","1.00","USD","-"
"FAST","FASTENAL","Industrials","Equity","40,792,751.00","0.10","40,792,751.00","817,490.00","49.90","United States","NASDAQ","USD","1.00","USD","-"
"ALNY","ALNYLAM PHARMACEUTICALS INC","Health Care","Equity","40,719,552.84","0.10","40,719,552.84","88,853.00","458.28","United States","NASDAQ","USD","1.00","USD","-"
"APO","APOLLO GLOBAL MANAGEMENT INC","Financials","Equity","40,466,564.32","0.10","40,466,564.32","295,204.00","137.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
