Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AXP","AMERICAN EXPRESS","Financials","Equity","119,925,388.50","0.28","119,925,388.50","391,785.00","306.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","118,339,674.28","0.28","118,339,674.28","821,404.00","144.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","117,622,412.60","0.28","117,622,412.60","195,020.00","603.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","116,604,749.52","0.28","116,604,749.52","1,217,677.00","95.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","116,323,200.00","0.28","116,323,200.00","516,992.00","225.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","114,293,407.84","0.27","114,293,407.84","446,668.00","255.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","113,287,861.60","0.27","113,287,861.60","383,312.00","295.55","United States","NASDAQ","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","112,657,226.01","0.27","112,657,226.01","1,472,451.00","76.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","109,653,836.75","0.26","109,653,836.75","303,725.00","361.03","United States","NASDAQ","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","109,115,535.00","0.26","109,115,535.00","1,051,716.00","103.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","107,457,991.84","0.25","107,457,991.84","798,232.00","134.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","104,862,157.74","0.25","104,862,157.74","888,813.00","117.98","United States","NASDAQ","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","104,700,849.76","0.25","104,700,849.76","417,734.00","250.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","102,569,927.40","0.24","102,569,927.40","4,050,945.00","25.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","102,557,587.08","0.24","102,557,587.08","400,053.00","256.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","99,569,489.04","0.24","99,569,489.04","459,396.00","216.74","United States","NASDAQ","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","97,714,793.70","0.23","97,714,793.70","735,915.00","132.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","97,613,904.00","0.23","97,613,904.00","279,696.00","349.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","97,082,109.45","0.23","97,082,109.45","795,429.00","122.05","United States","NASDAQ","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","96,377,844.80","0.23","96,377,844.80","454,184.00","212.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","96,286,472.94","0.23","96,286,472.94","448,637.00","214.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","95,805,138.48","0.23","95,805,138.48","245,692.00","389.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","95,521,594.98","0.23","95,521,594.98","426,874.00","223.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","94,406,941.98","0.22","94,406,941.98","858,401.00","109.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","94,004,056.70","0.22","94,004,056.70","579,485.00","162.22","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","91,327,288.77","0.22","91,327,288.77","910,269.00","100.33","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","89,357,017.42","0.21","89,357,017.42","2,636,678.00","33.89","United States","NASDAQ","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","88,682,646.16","0.21","88,682,646.16","290,078.00","305.72","United States","NASDAQ","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","87,430,605.41","0.21","87,430,605.41","522,629.00","167.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","85,168,706.64","0.20","85,168,706.64","469,094.00","181.56","United States","NASDAQ","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","85,139,556.32","0.20","85,139,556.32","173,953.00","489.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","84,745,632.32","0.20","84,745,632.32","903,857.00","93.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","83,487,173.96","0.20","83,487,173.96","323,318.00","258.22","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","83,226,723.92","0.20","83,226,723.92","94,999.00","876.08","United States","NASDAQ","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","82,073,395.90","0.19","82,073,395.90","912,941.00","89.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","81,545,111.48","0.19","81,545,111.48","353,867.00","230.44","United States","NASDAQ","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","80,537,764.12","0.19","80,537,764.12","131,428.00","612.79","United States","NASDAQ","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","79,930,839.04","0.19","79,930,839.04","1,200,884.00","66.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","78,803,089.96","0.19","78,803,089.96","3,113,516.00","25.31","United States","NASDAQ","USD","1.00","USD","-"
"SPOT","SPOTIFY TECHNOLOGY SA","Communication","Equity","78,759,473.45","0.19","78,759,473.45","109,487.00","719.35","Sweden","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","76,293,627.96","0.18","76,293,627.96","466,428.00","163.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","74,112,153.87","0.18","74,112,153.87","351,359.00","210.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","73,977,259.84","0.18","73,977,259.84","785,488.00","94.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","73,791,058.95","0.17","73,791,058.95","811,515.00","90.93","United States","NASDAQ","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","73,148,783.76","0.17","73,148,783.76","660,426.00","110.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","72,787,842.40","0.17","72,787,842.40","173,884.00","418.60","United States","NASDAQ","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","72,543,857.60","0.17","72,543,857.60","264,952.00","273.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","72,496,347.82","0.17","72,496,347.82","406,666.00","178.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","71,804,103.80","0.17","71,804,103.80","183,755.00","390.76","United States","NASDAQ","USD","1.00","USD","-"
